year_month,count,work_count,total_amount,munpia_amount,munpia_count,kakao_amount,kakao_count,naver_amount,naver_count
2018-03,50,1,5000,5000,50,0,0,0,0
2018-04,86,1,8600,8600,86,0,0,0,0
2018-05,64,2,6400,6400,64,0,0,0,0
2018-06,50,1,5000,5000,50,0,0,0,0
2018-07,200,4,20000,20000,200,0,0,0,0
2018-08,50,2,5000,5000,50,0,0,0,0
2018-10,150,4,15000,15000,150,0,0,0,0
2018-11,208,10,20800,20800,208,0,0,0,0
2018-12,195,12,19000,19000,195,0,0,0,0
2019-01,268,9,26800,26800,268,0,0,0,0
2019-02,139,8,13900,13900,139,0,0,0,0
2019-03,107,6,10200,10200,107,0,0,0,0
2019-04,37,2,3700,3700,37,0,0,0,0
2019-05,81,6,6900,6900,81,0,0,0,0
2019-06,97,5,9700,9700,97,0,0,0,0
2019-07,103,5,10000,10000,103,0,0,0,0
2019-08,64,7,6200,6200,64,0,0,0,0
2019-09,96,6,8000,7300,89,700,7,0,0
2019-10,90,7,10500,6500,67,4000,23,0,0
2019-11,61,7,6100,5000,50,1100,11,0,0
2019-12,66,6,6000,5000,56,1000,10,0,0
2020-01,72,8,11600,5000,50,6600,22,0,0
2020-02,112,12,19100,8000,81,11100,31,0,0
2020-03,128,9,17600,11800,118,5800,10,0,0
2020-04,130,16,34800,5200,52,29600,78,0,0
2020-05,91,8,10320,0,0,10320,91,0,0
2020-06,170,7,20100,0,0,20100,170,0,0
2020-07,275,4,44500,0,0,44500,275,0,0
2020-08,86,5,7600,4900,49,2700,37,0,0
2020-09,48,6,9750,1900,19,7850,29,0,0
2020-10,94,6,10950,9200,92,1750,2,0,0
2020-11,276,8,27600,7300,73,20300,203,0,0
2020-12,337,10,33700,31200,312,2500,25,0,0
2021-01,157,8,18100,4500,45,13600,112,0,0
2021-02,245,6,24500,0,0,24500,245,0,0
2021-03,270,3,27000,0,0,27000,270,0,0
2021-04,372,7,37200,0,0,37200,372,0,0
2021-05,300,10,30000,20000,200,10000,100,0,0
2021-06,494,13,46000,19200,200,3600,36,23200,258
2021-07,363,21,32700,0,0,5700,57,27000,306
2021-08,540,9,53400,0,0,21400,214,32000,326
2021-09,738,10,62750,0,0,27350,258,35400,480
2021-10,571,12,51800,0,0,6600,66,45200,505
2021-11,373,12,34400,700,7,9300,93,24400,273
2021-12,234,7,19000,0,0,1700,17,17300,217
2022-01,432,11,39800,0,0,16600,166,23200,266
2022-02,256,11,23800,0,0,3200,32,20600,224
2022-03,270,3,27000,0,0,24500,245,2500,25
2022-04,279,8,25200,0,0,15400,154,9800,125
2022-05,328,5,31300,0,0,13500,135,17800,193
2022-06,135,5,13400,0,0,5700,57,7700,78
2022-07,171,8,9900,0,0,-3500,15,13400,156
2022-08,54,4,5400,0,0,2400,24,3000,30
2022-09,132,3,12400,0,0,0,0,12400,132
2022-10,44,2,4000,0,0,0,0,4000,44
2022-11,25,2,2500,0,0,0,0,2500,25
2022-12,29,2,2900,0,0,400,4,2500,25
2023-01,80,3,7800,0,0,0,0,7800,80
2023-02,24,1,2400,0,0,0,0,2400,24
2023-03,54,2,5400,0,0,5200,52,200,2
2023-04,2,1,200,0,0,0,0,200,2
2023-05,30,2,3000,0,0,0,0,3000,30
2023-06,28,1,2800,0,0,0,0,2800,28
2023-07,21,1,2100,0,0,0,0,2100,21
2023-08,98,3,9400,0,0,0,0,9400,98
2023-09,248,5,19700,0,0,600,6,19100,242
2023-10,66,4,5700,0,0,0,0,5700,66
2023-11,49,4,2300,0,0,0,0,2300,49
2023-12,40,3,3600,0,0,0,0,3600,40
2024-01,40,3,3200,0,0,0,0,3200,40
2024-02,31,6,12000,0,0,300,3,11700,28
2024-03,25,1,2500,0,0,0,0,2500,25
2024-04,25,2,2100,0,0,0,0,2100,25
2024-05,1,1,0,0,0,0,0,0,1
2024-06,25,1,2500,0,0,0,0,2500,25
2024-07,11,1,1100,0,0,0,0,1100,11
2024-09,156,2,13000,0,0,0,0,13000,156
2024-10,7,2,300,0,0,0,0,300,7
2024-11,59,2,5700,0,0,0,0,5700,59
2024-12,72,3,6500,0,0,0,0,6500,72
2025-01,168,3,16200,0,0,0,0,16200,168
2025-02,7,2,1000,0,0,600,3,400,4
2025-03,24,3,11200,0,0,9600,4,1600,20
2025-06,12,1,0,0,0,0,0,0,12
2025-07,79,1,7200,0,0,0,0,7200,79
2025-09,121,4,9100,0,0,0,0,9100,121
2025-10,266,7,22100,0,0,0,0,22100,266
2025-11,306,5,29300,0,0,0,0,29300,306
2025-12,242,5,22700,0,0,0,0,22700,242
2026-01,110,3,9400,0,0,0,0,9400,110
2026-02,31,2,2700,0,0,0,0,2700,31
2026-03,525,3,50100,0,0,0,0,50100,525
2026-04,127,3,5700,0,0,0,0,5700,127
2026-05,538,9,53400,0,0,500,5,52900,533
2026-06,62,1,6200,0,0,0,0,6200,62
