platform,title,purchase_count,total_amount_krw,first_date,last_date
네이버 시리즈,약먹는 천재마법사,843,83300,2021-10-22,2026-01-08
카카오페이지,리라이프 플레이어,473,68700,2020-02-29,2022-12-21
네이버 시리즈,화산귀환,579,56700,2021-07-29,2023-05-28
네이버 시리즈,종말의 뱀이 되었다,424,39700,2024-09-22,2026-05-10
카카오페이지,전생검신,373,37300,2021-02-11,2021-03-26
네이버 시리즈,하라간,341,34100,2026-05-22,2026-05-29
네이버 시리즈,선협의 뱀이 되었다,342,32600,2025-11-10,2026-05-29
네이버 시리즈,천화일로,401,31300,2021-09-17,2021-10-03
문피아,절대 검감,292,28500,2019-05-13,2020-04-12
문피아,70억분의 1의 이레귤러,292,28000,2018-07-23,2019-05-21
카카오페이지,무한의 마법사,279,27900,2021-04-21,2021-05-01
문피아,이계에서 힘을 얻다,267,26700,2018-06-20,2020-12-19
네이버 시리즈,게임 속 바바리안으로 살아남기,271,25900,2022-09-26,2026-05-21
카카오페이지,빌어먹을 환생,252,25200,2021-02-02,2023-09-07
네이버 시리즈,무림서부,246,24100,2021-10-16,2022-01-18
카카오페이지,나 혼자 소드 마스터,239,23900,2022-02-05,2022-03-10
카카오페이지,변경백 서자는 황제였다,214,21400,2022-01-05,2022-04-25
문피아,소설 속 엑스트라,215,21000,2018-05-26,2020-12-11
카카오페이지,템빨,170,18700,2019-10-16,2022-02-05
카카오페이지,약먹는 천재마법사,175,17500,2021-02-04,2022-05-30
네이버 시리즈,"나태 공자, 노력 천재 되다",190,16900,2021-06-17,2022-01-20
문피아,공작가 장남이지만 엑스트라,169,16900,2018-07-22,2019-02-01
네이버 시리즈,규격 외 혈통 천재,180,16800,2021-07-15,2022-07-01
네이버 시리즈,더 해머,213,16600,2021-10-03,2022-01-16
네이버 시리즈,A급 헌터가 살아가는 법,193,16500,2024-09-29,2026-01-13
네이버 시리즈,낭객전기,159,15900,2025-10-07,2025-10-08
문피아,전지적 독자 시점,157,15700,2018-04-01,2018-12-04
카카오페이지,무당마검,156,15600,2021-09-04,2024-02-10
네이버 시리즈,마도전생기,175,15400,2021-07-10,2022-04-29
카카오페이지,구천구검,120,14600,2020-04-11,2020-06-13
네이버 시리즈,용사의 발라드,152,14600,2025-01-07,2025-01-11
네이버 시리즈,리터너즈,145,14500,2022-05-07,2022-05-13
네이버 시리즈,룬의 아이들,145,14500,2026-05-30,2026-05-31
문피아,환생표사,143,14300,2018-12-11,2020-04-03
