platform,title,author,genre,rating,purchase_count,total_amount_krw,first_date,last_date
네이버 시리즈,약먹는 천재마법사,글근육,판타지,9.8,843,83300,2021-10-22,2026-01-08
카카오페이지,리라이프 플레이어,시윤,판타지,4.0,473,68700,2020-02-29,2022-12-21
네이버 시리즈,화산귀환,비가,무협,8.6,579,56700,2021-07-29,2023-05-28
네이버 시리즈,종말의 뱀이 되었다,비도,판타지,9.9,424,39700,2024-09-22,2026-05-10
카카오페이지,전생검신,구로수번,무협,2.9,373,37300,2021-02-11,2021-03-26
네이버 시리즈,하라간,쥬논,판타지,9.4,341,34100,2026-05-22,2026-05-29
네이버 시리즈,선협의 뱀이 되었다,판다공자,무협,9.4,342,32600,2025-11-10,2026-05-29
네이버 시리즈,천화일로,목마,무협,9.3,401,31300,2021-09-17,2021-10-03
문피아,절대 검감,한중월야,"무협, 판타지",,292,28500,2019-05-13,2020-04-12
문피아,70억분의 1의 이레귤러,란델,"게임, 현대판타지",,292,28000,2018-07-23,2019-05-21
카카오페이지,무한의 마법사,김치우,판타지,2.9,279,27900,2021-04-21,2021-05-01
문피아,이계에서 힘을 얻다,봉사,현대판타지,,267,26700,2018-06-20,2020-12-19
네이버 시리즈,게임 속 바바리안으로 살아남기,정윤강,판타지,9.3,271,25900,2022-09-26,2026-05-21
카카오페이지,빌어먹을 환생,목마,판타지,3.0,252,25200,2021-02-02,2023-09-07
네이버 시리즈,무림서부,컵라면.,무협,9.6,246,24100,2021-10-16,2022-01-18
카카오페이지,나 혼자 소드 마스터,무영자,판타지,4.0,239,23900,2022-02-05,2022-03-10
카카오페이지,변경백 서자는 황제였다,기준석,판타지,1.7,214,21400,2022-01-05,2022-04-25
문피아,소설 속 엑스트라,지갑송,"퓨전, 현대판타지",,215,21000,2018-05-26,2020-12-11
카카오페이지,템빨,박새날,판타지,9.6,170,18700,2019-10-16,2022-02-05
카카오페이지,약먹는 천재마법사,글근육,판타지,5.0,175,17500,2021-02-04,2022-05-30
네이버 시리즈,"나태 공자, 노력 천재 되다",이등별,판타지,9.4,190,16900,2021-06-17,2022-01-20
문피아,공작가 장남이지만 엑스트라,냉장고1,"판타지, 퓨전",,169,16900,2018-07-22,2019-02-01
네이버 시리즈,규격 외 혈통 천재,소울풍,판타지,9.5,180,16800,2021-07-15,2022-07-01
